,city_page
368,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
369,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
370,"{'display_name': 'Cibucil, Jawa Barat, Indonesia', 'id': '114526511891049'}"
371,"{'display_name': 'Rangkasbitung, Jawa Barat, Indonesia', 'id': '100239880017709'}"
372,"{'display_name': 'Kuta, Jawa Barat, Indonesia', 'id': '112685328748866'}"
373,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
374,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
375,"{'display_name': 'Mauk, Jawa Barat, Indonesia', 'id': '104957506206178'}"
376,"{'display_name': 'Pulogebang, Jawa Barat, Indonesia', 'id': '100245523351175'}"
377,"{'display_name': 'Karawang', 'id': '108130022542209'}"
378,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
379,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
380,"{'display_name': 'Depok', 'id': '106187686078679'}"
381,"{'display_name': 'Cianjur Regency', 'id': '140827019261867'}"
382,"{'display_name': 'Sukabumi', 'id': '112979025382778'}"
383,"{'display_name': 'Tangerang', 'id': '107978652563828'}"
384,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
385,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
386,"{'display_name': 'Ciledug Selatan, Jawa Barat, Indonesia', 'id': '114350101908974'}"
387,"{'display_name': 'Jakarta, Indonesia', 'id': '102173726491792'}"
388,"{'display_name': 'Bogor, Indonesia', 'id': '110666318962176'}"
